#,Product / Cost,Seller,Qty,Unit Price (USD),Total (USD),Link
1,"2.8"" SPI Touch Screen Module TFT Interface 240x320",Robu.in,1,8.38,8.38,https://robu.in/product/2-8-inch-spi-touch-screen-module-tft-interface-240320/?utm_source=chatgpt.com
2,"PN5180 NFC RF Sensor Module, ISO15693 RFID, ICODE2",Amazon.in,1,20.69,20.69,https://www.amazon.in/gp/product/B09G2KXPRL/ref=ox_sc_act_title_1?smid=AZU3LIF9T5UMI&psc=1
3,40-Pin 2.54mm Male + Female Berg Strip Connector - Pair of 5,Amazon.in,1,1.04,1.04,https://www.amazon.in/gp/product/B0DNMD4THF/ref=ox_sc_act_title_2?smid=A366YFPXO3CTI5&psc=1
4,OV2640 200W Pixel Wide Angle Camera,FlyRobo,1,9.44,9.44,https://www.flyrobo.in/ov2640-200w-pixel-wide-angle-camera?utm_source=chatgpt.com
5,"ESP32-S3-WROOM-1-N16R8 Wi-Fi/BLE Module, 16MB Flash, PCB Antenna",Evelta,1,3.41,3.41,https://evelta.com/esp32-s3-wroom-1-n16r8-wi-fi-ble-module-transceiver-16mb-flash-pcb-antenna/?utm_source=chatgpt.com
6,Carbsion gerbers_Y32 - PCB,JLCPCB,5,1.40,7.00,https://jlcpcb.com/
7,"Carbsion gerbers_Y32 - Economic PCBA, Bottom-Side SMT Assembly",JLCPCB,5,10.38,51.90,https://jlcpcb.com/
8,JLCPCB Shipping,JLCPCB,1,8.98,8.98,https://jlcpcb.com/
9,Tax,-,1,33.94,33.94,
,,,,GRAND TOTAL,144.78,
